scenario,gamma,floor,n_grids,inv_zero_over_useful,inv_high_over_low,inv_zero_over_trivial,gap_useful_trivial
B,7,20,50000,0.00442,0.08308,0.1235,29.808431512451026
B,10,1,50000,0.00664,0.0598,0.19644,37.38741165359312
B,10,3,50000,0.00582,0.06184,0.18538,36.61629707659417
B,10,5,50000,0.00516,0.06442,0.17566,35.84564499448317
B,10,8,50000,0.00414,0.06848,0.16096,34.69063843472698
B,10,10,50000,0.0037,0.0713,0.15098,33.92119272048417
B,10,20,50000,0.00172,0.0912,0.10588,30.080665121315835
B,13,1,50000,0.0038,0.07958,0.16762,36.23970671298716
B,13,3,50000,0.00326,0.08196,0.15928,35.49358847327024
B,13,5,50000,0.00286,0.0847,0.151,34.74792271275327
B,13,8,50000,0.00236,0.0896,0.13846,33.63027322151672
B,13,10,50000,0.00214,0.09326,0.12996,32.885783580119366
B,13,20,50000,0.00132,0.11496,0.09056,29.16960772235759
C,4,1,50000,0.0079,0.10212,0.03174,34.359999087993046
C,4,3,50000,0.0073,0.1036,0.03098,33.649238566494176
C,4,5,50000,0.00694,0.10488,0.03056,32.938329122380736
C,4,8,50000,0.00616,0.10734,0.02978,31.87185665774489
C,4,10,50000,0.00568,0.10928,0.029,31.160921267409485
C,4,20,50000,0.00346,0.12174,0.02468,27.610276019244573
C,7,1,50000,0.0036,0.04392,0.03102,40.08715447959659
C,7,3,50000,0.0033,0.04496,0.03048,39.26380273923426
C,7,5,50000,0.003,0.04632,0.02992,38.44065486064472
C,7,8,50000,0.00264,0.04842,0.02922,37.2065024359718
C,7,10,50000,0.0023,0.05036,0.02866,36.38435260893136
C,7,20,50000,0.0011,0.0623,0.0246,32.280246822747074
C,10,1,50000,0.00186,0.045,0.02954,40.45879529929617
C,10,3,50000,0.00158,0.04646,0.02904,39.63032429195616
C,10,5,50000,0.00142,0.04814,0.02848,38.80229351334998
C,10,8,50000,0.00118,0.0507,0.02754,37.561005602639845
C,10,10,50000,0.00112,0.05254,0.02686,36.73389089348948
C,10,20,50000,0.00046,0.0661,0.02314,32.60638312229729
C,13,1,50000,0.00106,0.06228,0.02794,39.24219901974778
C,13,3,50000,0.00098,0.06376,0.0272,38.43973090395394
C,13,5,50000,0.00084,0.06564,0.0267,37.63780278196635
C,13,8,50000,0.00066,0.06882,0.02582,36.43579526738314
C,13,10,50000,0.00052,0.07118,0.02518,35.63526536064484
C,13,20,50000,0.00024,0.08802,0.02108,31.641921528437614
D,4,1,50000,0.09288,0.07134,0.42372,31.586323772977913
D,4,3,50000,0.0882,0.07424,0.41182,30.923886661068966
D,4,5,50000,0.08316,0.077,0.39936,30.260698497573742
D,4,8,50000,0.07688,0.08286,0.38102,29.265001105527855
D,4,10,50000,0.07306,0.08656,0.36784,28.60108722039799
D,4,20,50000,0.05318,0.1126,0.29832,25.28487416063484
D,7,1,50000,0.04738,0.03562,0.39902,36.70524011319744
D,7,3,50000,0.04472,0.03796,0.3899,35.9406973197729
D,7,5,50000,0.0422,0.04102,0.37864,35.176457346756784
D,7,8,50000,0.03846,0.04544,0.36274,34.03025158828238
D,7,10,50000,0.03586,0.04944,0.35168,33.26635421297152
D,7,20,50000,0.0257,0.07428,0.29372,29.449810745547452
D,10,1,50000,0.03088,0.04166,0.36702,36.91196612805892
D,10,3,50000,0.02848,0.04534,0.35836,36.14372340388535
D,10,5,50000,0.0268,0.04864,0.34882,35.37568272386585
D,10,8,50000,0.02408,0.05386,0.33378,34.22387283197942
D,10,10,50000,0.02236,0.0582,0.32342,33.45606891660721
D,10,20,50000,0.01558,0.08566,0.2743,29.618027289361333
D,13,1,50000,0.02306,0.0591,0.33874,35.69272393249387
D,13,3,50000,0.02138,0.06322,0.33028,34.9486681318361
D,13,5,50000,0.01988,0.06726,0.3218,34.204663106054404
D,13,8,50000,0.0175,0.07386,0.30816,33.08943810833606
D,13,10,50000,0.0162,0.07888,0.29858,32.346192360399456
D,13,20,50000,0.01072,0.10854,0.25458,28.631517027255168
E,4,1,50000,0.1025,0.0832,0.58464,29.423126906975572
E,4,3,50000,0.09346,0.08544,0.56112,28.75055894217403
E,4,5,50000,0.086,0.08808,0.53534,28.07822255233486
E,4,8,50000,0.07546,0.09338,0.49592,27.070729738259242
E,4,10,50000,0.0691,0.09704,0.4687,26.399562879442833
E,4,20,50000,0.04246,0.12006,0.32234,23.053677442270867
E,7,1,50000,0.04024,0.04662,0.51356,33.996970411653415
E,7,3,50000,0.03672,0.0491,0.49214,33.2364896531965
E,7,5,50000,0.03416,0.05206,0.46976,32.476799708568386
E,7,8,50000,0.03044,0.05712,0.43438,31.338766087671164
E,7,10,50000,0.02804,0.06102,0.41162,30.58101521385379
E,7,20,50000,0.01936,0.08704,0.2918,26.8013505013712
E,10,1,50000,0.02412,0.05348,0.4402,33.99175455089352
E,10,3,50000,0.0223,0.05672,0.42136,33.23483696761182
E,10,5,50000,0.02082,0.0605,0.40048,32.47840014209941
E,10,8,50000,0.01866,0.06686,0.37032,31.34473673109769
E,10,10,50000,0.01742,0.07128,0.34986,30.589864387995497
E,10,20,50000,0.01344,0.10178,0.24788,26.821112473382158
E,13,1,50000,0.01798,0.07412,0.38146,32.691594519997246
E,13,3,50000,0.01686,0.07862,0.36254,31.962709512168917
E,13,5,50000,0.0156,0.08318,0.3442,31.234339519980598
E,13,8,50000,0.01458,0.09082,0.31674,30.14262137199328
E,13,10,50000,0.0138,0.09632,0.29856,29.415115197955192
E,13,20,50000,0.01174,0.12642,0.2075,25.78091708003314
