date,currency,usd_per_unit
2026-05-16,EUR,1.11
2026-05-16,GBP,1.27
2026-05-16,JPY,0.0100
2026-05-17,AUD,0.66
2026-05-17,CAD,0.71
2026-05-17,EUR,1.10
2026-05-17,GBP,1.26
2026-05-17,JPY,0.0100
2026-05-18,AUD,0.67
2026-05-18,CAD,0.75
2026-05-18,EUR,1.09
2026-05-18,GBP,1.30
2026-05-18,JPY,0.0100
2026-05-19,AUD,0.64
2026-05-19,CAD,0.73
2026-05-19,EUR,1.09
2026-05-19,GBP,1.25
2026-05-19,JPY,0.0100
2026-05-20,AUD,0.66
2026-05-20,CAD,0.74
2026-05-20,EUR,1.11
2026-05-20,GBP,1.25
2026-05-20,JPY,0.0100
2026-05-21,AUD,0.67
2026-05-21,CAD,0.71
2026-05-21,EUR,1.08
2026-05-21,GBP,1.27
2026-05-21,JPY,0.0100
2026-05-22,AUD,0.68
2026-05-22,CAD,0.71
2026-05-22,EUR,1.11
2026-05-22,GBP,1.28
2026-05-22,JPY,0.0100
2026-05-23,AUD,0.67
2026-05-23,CAD,0.75
2026-05-23,EUR,1.07
2026-05-23,GBP,1.26
2026-05-23,JPY,0.0100
2026-05-24,AUD,0.67
2026-05-24,CAD,0.71
2026-05-24,EUR,1.07
2026-05-24,GBP,1.29
2026-05-24,JPY,0.0100
2026-05-25,AUD,0.65
2026-05-25,CAD,0.73
2026-05-25,EUR,1.12
2026-05-25,GBP,1.29
2026-05-25,JPY,0.0100
2026-05-26,AUD,0.65
2026-05-26,CAD,0.75
2026-05-26,EUR,1.07
2026-05-26,GBP,1.26
2026-05-26,JPY,0.0100
2026-05-27,AUD,0.65
2026-05-27,CAD,0.72
2026-05-27,EUR,1.11
2026-05-27,GBP,1.25
2026-05-27,JPY,0.0100
2026-05-28,AUD,0.67
2026-05-28,CAD,0.74
2026-05-28,EUR,1.07
2026-05-28,GBP,1.29
2026-05-28,JPY,0.0100
2026-05-29,AUD,0.64
2026-05-29,CAD,0.71
2026-05-29,EUR,1.11
2026-05-29,GBP,1.28
2026-05-29,JPY,0.0100
2026-05-30,AUD,0.65
2026-05-30,CAD,0.75
2026-05-30,EUR,1.12
2026-05-30,GBP,1.26
2026-05-30,JPY,0.0100
